DataFrame[212×20 DataFrame
 Row │ geometry    ref:FR:PTT  ref:FR:PTT:NRA  colour   mapillary        operator          substation          utility  survey:date  ref:FR:Orange:NRO  man_made        ref        ref:FR:ARCEP   ref:FR:Orange  @id              telecom:medium  power       owner    telecom           street_cabinet
 103 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GJ  PT006628       node/7191316398  fibre           missing     Orange   connection_point  telecom
 104 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FZ  PT006622       node/7191316399  fibre           missing     Orange   connection_point  telecom
 105 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01F8  PT006604       node/7191316400  fibre           missing     Orange   connection_point  telecom
 106 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FX  PT006606       node/7191316401  fibre           missing     Orange   connection_point  telecom
 107 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G1  PT006555       node/7191316402  fibre           missing     Orange   connection_point  telecom
 108 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FG  PT006559       node/7191316403  fibre           missing     Orange   connection_point  telecom
 109 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-017O  PT002616       node/7193562507  fibre           missing     Orange   connection_point  telecom
 110 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0195  PT002577       node/7193562508  fibre           missing     Orange   connection_point  telecom
 111 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018W  PT002563       node/7193562509  fibre           missing     Orange   connection_point  telecom
 112 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019I  PT002568       node/7193562510  fibre           missing     Orange   connection_point  telecom
 113 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0187  PT002622       node/7193562511  fibre           missing     Orange   connection_point  telecom
 114 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0188  PT002627       node/7193562512  fibre           missing     Orange   connection_point  telecom
 115 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-017W  PT002626       node/7193562513  fibre           missing     Orange   connection_point  telecom
 116 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018R  PT002623       node/7193562514  fibre           missing     Orange   connection_point  telecom
 117 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018T  PT002625       node/7193562515  fibre           missing     Orange   connection_point  telecom
 118 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018V  PT002590       node/7193562516  fibre           missing     Orange   connection_point  telecom
 119 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019D  PT002591       node/7193562517  fibre           missing     Orange   connection_point  telecom
 120 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019F  PT002595       node/7193562518  fibre           missing     Orange   connection_point  telecom
 121 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018X  PT002594       node/7193562519  fibre           missing     Orange   connection_point  telecom
 122 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019E  PT002593       node/7193562520  fibre           missing     Orange   connection_point  telecom
 123 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019C  PT002460       node/7193562532  fibre           missing     Orange   connection_point  telecom
 124 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019L  PT002437       node/7193562533  fibre           missing     Orange   connection_point  telecom
 125 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0184  PT002596       node/7193562534  fibre           missing     Orange   connection_point  telecom
 126 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0192  PT002578       node/7193562535  fibre           missing     Orange   connection_point  telecom
 127 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0193  PT002585       node/7193562536  fibre           missing     Orange   connection_point  telecom
 128 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SK  PT006232       node/7196059988  fibre           missing     Orange   connection_point  telecom
 129 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SU  PT006217       node/7196059990  fibre           missing     Orange   connection_point  telecom
 130 │ 2D Point    GLOG67      44109GLO        missing          missing  Orange            missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7196059991  copper          missing     Orange   connection_point  telecom
 131 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00ST  PT006216       node/7196059992  fibre           missing     Orange   connection_point  telecom
 132 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00V9  PT006218       node/7196059993  fibre           missing     Orange   connection_point  telecom
 133 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SL  PT006223       node/7196059994  fibre           missing     Orange   connection_point  telecom
 134 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SS  PT006222       node/7196059995  fibre           missing     Orange   connection_point  telecom
 135 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SV  PT006221       node/7196059996  fibre           missing     Orange   connection_point  telecom
 136 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00V0  PT006220       node/7196059997  fibre           missing     Orange   connection_point  telecom
 137 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00V1  PT006231       node/7196059998  fibre           missing     Orange   connection_point  telecom
 138 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SN  PT006219       node/7196059999  fibre           missing     Orange   connection_point  telecom
 139 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SM  PT006224       node/7196060000  fibre           missing     Orange   connection_point  telecom
 140 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SO  PT006230       node/7196060001  fibre           missing     Orange   connection_point  telecom
 141 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SJ  PT006229       node/7196060002  fibre           missing     Orange   connection_point  telecom
 142 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FE  PT006558       node/7204588852  fibre           missing     Orange   connection_point  telecom
 143 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FF  PT006557       node/7204588853  fibre           missing     Orange   connection_point  telecom
 144 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FW  PT006554       node/7204588854  fibre           missing     Orange   connection_point  telecom
 145 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G6  PT006621       node/7204588855  fibre           missing     Orange   connection_point  telecom
 146 │ 2D Point    missing     missing         missing          missing  Orange            missing             telecom  missing      44109GLO           street_cabinet  missing    FI-44109-01FC  PT006635       node/7204588856  fibre           missing     Orange   connection_point  telecom
